voltage,time
1.04,-0.001253
1.04,-0.0012528
1.06,-0.0012526
1.04,-0.0012524
1.06,-0.0012522
1.04,-0.001252
1.06,-0.0012518
1.04,-0.0012516
1.06,-0.0012514
1.04,-0.0012512
1.06,-0.001251
1.04,-0.0012508
1.04,-0.0012506
1.06,-0.0012504
1.06,-0.0012502
1.06,-0.00125
1.04,-0.0012498
1.04,-0.0012496
1.06,-0.0012494
1.04,-0.0012492
1.06,-0.001249
1.06,-0.0012488
1.06,-0.0012486
1.04,-0.0012484
1.06,-0.0012482
1.06,-0.001248
1.08,-0.0012478
1.08,-0.0012476
1.06,-0.0012474
1.06,-0.0012472
1.04,-0.001247
1.06,-0.0012468
1.08,-0.0012466
1.06,-0.0012464
1.06,-0.0012462
1.04,-0.001246
1.06,-0.0012458
1.04,-0.0012456
1.06,-0.0012454
1.08,-0.0012452
1.08,-0.001245
1.06,-0.0012448
1.06,-0.0012446
1.08,-0.0012444
1.06,-0.0012442
1.08,-0.001244
1.06,-0.0012438
1.06,-0.0012436
1.06,-0.0012434
1.06,-0.0012432
1.06,-0.001243
1.06,-0.0012428
1.06,-0.0012426
1.06,-0.0012424
1.08,-0.0012422
1.06,-0.001242
1.06,-0.0012418
1.06,-0.0012416
1.06,-0.0012414
1.08,-0.0012412
1.04,-0.001241
1.06,-0.0012408
1.06,-0.0012406
1.08,-0.0012404
1.06,-0.0012402
1.06,-0.00124
1.06,-0.0012398
1.08,-0.0012396
1.08,-0.0012394
1.08,-0.0012392
1.06,-0.001239
1.06,-0.0012388
1.08,-0.0012386
1.08,-0.0012384
1.08,-0.0012382
1.06,-0.001238
1.08,-0.0012378
1.06,-0.0012376
1.06,-0.0012374
1.06,-0.0012372
1.08,-0.001237
1.08,-0.0012368
1.04,-0.0012366
1.06,-0.0012364
1.08,-0.0012362
1.06,-0.001236
1.06,-0.0012358
1.06,-0.0012356
1.06,-0.0012354
1.06,-0.0012352
1.04,-0.001235
1.08,-0.0012348
1.08,-0.0012346
1.06,-0.0012344
1.06,-0.0012342
1.08,-0.001234
1.06,-0.0012338
1.08,-0.0012336
1.08,-0.0012334
1.08,-0.0012332
1.08,-0.001233
1.06,-0.0012328
1.06,-0.0012326
1.06,-0.0012324
1.06,-0.0012322
1.08,-0.001232
1.06,-0.0012318
1.08,-0.0012316
1.06,-0.0012314
1.06,-0.0012312
1.06,-0.001231
1.06,-0.0012308
1.04,-0.0012306
1.06,-0.0012304
1.08,-0.0012302
1.08,-0.00123
1.08,-0.0012298
1.06,-0.0012296
1.08,-0.0012294
1.06,-0.0012292
1.06,-0.001229
1.08,-0.0012288
1.08,-0.0012286
1.06,-0.0012284
1.08,-0.0012282
1.06,-0.001228
1.06,-0.0012278
1.06,-0.0012276
1.06,-0.0012274
1.08,-0.0012272
1.04,-0.001227
1.06,-0.0012268
1.06,-0.0012266
1.06,-0.0012264
1.06,-0.0012262
1.08,-0.001226
1.08,-0.0012258
1.04,-0.0012256
1.06,-0.0012254
1.08,-0.0012252
1.08,-0.001225
1.04,-0.0012248
1.06,-0.0012246
1.04,-0.0012244
1.06,-0.0012242
1.08,-0.001224
1.04,-0.0012238
1.06,-0.0012236
1.06,-0.0012234
1.06,-0.0012232
1.06,-0.001223
1.06,-0.0012228
1.06,-0.0012226
1.06,-0.0012224
1.06,-0.0012222
1.06,-0.001222
1.06,-0.0012218
1.06,-0.0012216
1.06,-0.0012214
1.06,-0.0012212
1.06,-0.001221
1.06,-0.0012208
1.06,-0.0012206
1.06,-0.0012204
1.06,-0.0012202
1.06,-0.00122
1.06,-0.0012198
1.06,-0.0012196
1.06,-0.0012194
1.06,-0.0012192
1.06,-0.001219
1.06,-0.0012188
1.06,-0.0012186
1.04,-0.0012184
1.04,-0.0012182
1.04,-0.001218
1.06,-0.0012178
1.06,-0.0012176
1.06,-0.0012174
1.06,-0.0012172
1.04,-0.001217
1.04,-0.0012168
1.06,-0.0012166
1.04,-0.0012164
1.06,-0.0012162
1.06,-0.001216
1.06,-0.0012158
1.06,-0.0012156
1.06,-0.0012154
1.04,-0.0012152
1.06,-0.001215
1.06,-0.0012148
1.06,-0.0012146
1.04,-0.0012144
1.04,-0.0012142
1.04,-0.001214
1.06,-0.0012138
1.04,-0.0012136
1.04,-0.0012134
1.04,-0.0012132
1.04,-0.001213
1.04,-0.0012128
1.04,-0.0012126
1.04,-0.0012124
1.04,-0.0012122
1.04,-0.001212
1.04,-0.0012118
1.04,-0.0012116
1.04,-0.0012114
1.04,-0.0012112
1.04,-0.001211
1.06,-0.0012108
1.04,-0.0012106
1.04,-0.0012104
1.04,-0.0012102
1.04,-0.00121
1.04,-0.0012098
1.02,-0.0012096
1.04,-0.0012094
1.04,-0.0012092
1.04,-0.001209
1.02,-0.0012088
1.04,-0.0012086
1.02,-0.0012084
1.04,-0.0012082
1.02,-0.001208
1.04,-0.0012078
1.02,-0.0012076
1.04,-0.0012074
1.04,-0.0012072
1.02,-0.001207
1.04,-0.0012068
1.04,-0.0012066
1.04,-0.0012064
1.02,-0.0012062
1.04,-0.001206
1,-0.0012058
1.04,-0.0012056
1.04,-0.0012054
1,-0.0012052
1.02,-0.001205
1.04,-0.0012048
1.04,-0.0012046
1.02,-0.0012044
1.02,-0.0012042
1.04,-0.001204
1.04,-0.0012038
1.04,-0.0012036
1.04,-0.0012034
1.04,-0.0012032
1.02,-0.001203
1.02,-0.0012028
1.02,-0.0012026
1,-0.0012024
1.02,-0.0012022
1.02,-0.001202
1.02,-0.0012018
1.02,-0.0012016
1,-0.0012014
1.02,-0.0012012
1.02,-0.001201
1,-0.0012008
1.02,-0.0012006
1.02,-0.0012004
1,-0.0012002
1,-0.0012
1.02,-0.0011998
1.02,-0.0011996
1.02,-0.0011994
1.02,-0.0011992
1.02,-0.001199
1,-0.0011988
1,-0.0011986
1,-0.0011984
0.98,-0.0011982
1,-0.001198
1.02,-0.0011978
1,-0.0011976
1,-0.0011974
1,-0.0011972
1,-0.001197
1,-0.0011968
1,-0.0011966
0.98,-0.0011964
1,-0.0011962
1,-0.001196
0.98,-0.0011958
1,-0.0011956
0.98,-0.0011954
1,-0.0011952
1,-0.001195
0.98,-0.0011948
1,-0.0011946
0.98,-0.0011944
1,-0.0011942
0.96,-0.001194
0.98,-0.0011938
0.96,-0.0011936
0.98,-0.0011934
0.98,-0.0011932
0.96,-0.001193
0.98,-0.0011928
1,-0.0011926
0.98,-0.0011924
0.96,-0.0011922
0.98,-0.001192
0.96,-0.0011918
0.98,-0.0011916
0.98,-0.0011914
0.98,-0.0011912
1,-0.001191
0.98,-0.0011908
0.98,-0.0011906
0.98,-0.0011904
0.98,-0.0011902
0.98,-0.00119
0.98,-0.0011898
0.96,-0.0011896
0.96,-0.0011894
0.96,-0.0011892
0.96,-0.001189
0.96,-0.0011888
0.98,-0.0011886
0.96,-0.0011884
0.96,-0.0011882
0.98,-0.001188
0.96,-0.0011878
0.92,-0.0011876
0.96,-0.0011874
0.94,-0.0011872
0.96,-0.001187
0.96,-0.0011868
0.94,-0.0011866
0.94,-0.0011864
0.96,-0.0011862
0.96,-0.001186
0.96,-0.0011858
0.96,-0.0011856
0.96,-0.0011854
0.94,-0.0011852
0.94,-0.001185
0.94,-0.0011848
0.94,-0.0011846
0.94,-0.0011844
0.94,-0.0011842
0.96,-0.001184
0.94,-0.0011838
0.94,-0.0011836
0.94,-0.0011834
0.94,-0.0011832
0.92,-0.001183
0.92,-0.0011828
0.94,-0.0011826
0.92,-0.0011824
0.9,-0.0011822
0.92,-0.001182
0.94,-0.0011818
0.92,-0.0011816
0.92,-0.0011814
0.94,-0.0011812
0.94,-0.001181
0.92,-0.0011808
0.9,-0.0011806
0.94,-0.0011804
0.94,-0.0011802
0.92,-0.00118
0.94,-0.0011798
0.92,-0.0011796
0.9,-0.0011794
0.9,-0.0011792
0.92,-0.001179
0.92,-0.0011788
0.92,-0.0011786
0.92,-0.0011784
0.92,-0.0011782
0.92,-0.001178
0.92,-0.0011778
0.92,-0.0011776
0.9,-0.0011774
0.9,-0.0011772
0.92,-0.001177
0.88,-0.0011768
0.9,-0.0011766
0.9,-0.0011764
0.9,-0.0011762
0.92,-0.001176
0.9,-0.0011758
0.9,-0.0011756
0.88,-0.0011754
0.9,-0.0011752
0.9,-0.001175
0.9,-0.0011748
0.88,-0.0011746
0.88,-0.0011744
0.9,-0.0011742
0.88,-0.001174
0.88,-0.0011738
0.88,-0.0011736
0.88,-0.0011734
0.88,-0.0011732
0.88,-0.001173
0.88,-0.0011728
0.88,-0.0011726
0.88,-0.0011724
0.88,-0.0011722
0.88,-0.001172
0.88,-0.0011718
0.84,-0.0011716
0.86,-0.0011714
0.86,-0.0011712
0.84,-0.001171
0.84,-0.0011708
0.86,-0.0011706
0.86,-0.0011704
0.84,-0.0011702
0.86,-0.00117
0.84,-0.0011698
0.86,-0.0011696
0.86,-0.0011694
0.86,-0.0011692
0.84,-0.001169
0.86,-0.0011688
0.86,-0.0011686
0.84,-0.0011684
0.86,-0.0011682
0.86,-0.001168
0.84,-0.0011678
0.86,-0.0011676
0.86,-0.0011674
0.84,-0.0011672
0.84,-0.001167
0.84,-0.0011668
0.82,-0.0011666
0.84,-0.0011664
0.84,-0.0011662
0.84,-0.001166
0.82,-0.0011658
0.84,-0.0011656
0.82,-0.0011654
0.84,-0.0011652
0.82,-0.001165
0.82,-0.0011648
0.82,-0.0011646
0.82,-0.0011644
0.82,-0.0011642
0.82,-0.001164
0.82,-0.0011638
0.82,-0.0011636
0.82,-0.0011634
0.82,-0.0011632
0.8,-0.001163
0.8,-0.0011628
0.8,-0.0011626
0.82,-0.0011624
0.8,-0.0011622
0.8,-0.001162
0.8,-0.0011618
0.82,-0.0011616
0.8,-0.0011614
0.8,-0.0011612
0.8,-0.001161
0.82,-0.0011608
0.8,-0.0011606
0.8,-0.0011604
0.8,-0.0011602
0.8,-0.00116
0.8,-0.0011598
0.78,-0.0011596
0.78,-0.0011594
0.78,-0.0011592
0.8,-0.001159
0.78,-0.0011588
0.8,-0.0011586
0.78,-0.0011584
0.76,-0.0011582
0.8,-0.001158
0.78,-0.0011578
0.78,-0.0011576
0.78,-0.0011574
0.78,-0.0011572
0.76,-0.001157
0.8,-0.0011568
0.78,-0.0011566
0.76,-0.0011564
0.78,-0.0011562
0.76,-0.001156
0.72,-0.0011558
0.76,-0.0011556
0.74,-0.0011554
0.76,-0.0011552
0.76,-0.001155
0.76,-0.0011548
0.76,-0.0011546
0.76,-0.0011544
0.76,-0.0011542
0.76,-0.001154
0.74,-0.0011538
0.74,-0.0011536
0.76,-0.0011534
0.74,-0.0011532
0.76,-0.001153
0.74,-0.0011528
0.72,-0.0011526
0.76,-0.0011524
0.74,-0.0011522
0.74,-0.001152
0.74,-0.0011518
0.72,-0.0011516
0.72,-0.0011514
0.7,-0.0011512
0.72,-0.001151
0.72,-0.0011508
0.72,-0.0011506
0.7,-0.0011504
0.7,-0.0011502
0.72,-0.00115
0.7,-0.0011498
0.72,-0.0011496
0.7,-0.0011494
0.7,-0.0011492
0.72,-0.001149
0.7,-0.0011488
0.68,-0.0011486
0.72,-0.0011484
0.72,-0.0011482
0.7,-0.001148
0.7,-0.0011478
0.7,-0.0011476
0.7,-0.0011474
0.7,-0.0011472
0.7,-0.001147
0.68,-0.0011468
0.7,-0.0011466
0.68,-0.0011464
0.7,-0.0011462
0.7,-0.001146
0.7,-0.0011458
0.66,-0.0011456
0.7,-0.0011454
0.66,-0.0011452
0.7,-0.001145
0.68,-0.0011448
0.68,-0.0011446
0.66,-0.0011444
0.66,-0.0011442
0.66,-0.001144
0.66,-0.0011438
0.66,-0.0011436
0.66,-0.0011434
0.64,-0.0011432
0.68,-0.001143
0.66,-0.0011428
0.66,-0.0011426
0.66,-0.0011424
0.64,-0.0011422
0.64,-0.001142
0.66,-0.0011418
0.66,-0.0011416
0.64,-0.0011414
0.62,-0.0011412
0.64,-0.001141
0.62,-0.0011408
0.64,-0.0011406
0.64,-0.0011404
0.64,-0.0011402
0.64,-0.00114
0.62,-0.0011398
